Unigram  Probability
99    1.8054859691171638e-05
%    0.0010742641516247118
support    0.00025276803567640254
oppressive    1.8054859691171638e-05
sharia    3.6109719382343215e-05
law    0.0001354114476837871
admit    5.4164579073514886e-05
more    0.0010923190113158834
countries    0.00034304233413226076
region    4.513714922792906e-05
share    3.159600445955037e-05
same    0.00032498747444108917
views    3.6109719382343215e-05
announced    0.0001308977327609942
will    0.0021575557330950094
paying    0.00014443887752937289
wall    0.0006996258130329004
at    0.0022072065972457314
cameras    0.00014895259245216593
there    0.0018822191228046415
some    0.0012322441739224632
cases    8.576058353306526e-05
hear    0.00027082289536757424
case    0.00015798002229775173
literally    6.319200891910074e-05
mean    0.0013270321873011138
had    0.0014579299200621083
walker    4.9650864150722e-05
done    0.0006680298085733503
fairness    9.930172830144402e-05
super    0.0001173565879926156
pac    7.67331536874794e-05
his    0.0006093515145770423
campaign    0.00030241889982712453
unable    9.027429845585819e-06
figure    4.513714922792906e-05
out    0.001958952276492121
why    0.000713166957801279
race    0.00011284287306982275
couldn    0.00014443887752937289
business    0.0003520697639778466
world    0.0008892018397902023
guys    0.00037915205351460427
carl    0.0001173565879926156
icahn    7.221943876468644e-05
calls    5.867829399630779e-05
donald    0.00023471317598523122
smartest    4.513714922792906e-05
call    0.0003295011893638823
use    0.00042880291766532594
special    0.00024374060583081712
interest    0.0001173565879926156
donor    1.354114476837872e-05
story    0.0003295011893638823
fox    6.770572384189355e-05
cnn    0.00012187030291540855
them    0.0023922689090802394
veterans    0.00029790518490433186
treated    0.00018054859691171628
terribly    1.354114476837872e-05
showed    5.4164579073514886e-05
desk    1.354114476837872e-05
supposed    0.00020763088644847383
behind    4.9650864150722e-05
nobody    0.0006499749488821783
probably    0.000491994926584427
saw    0.00034304233413226076
saying    0.000532618360889563
feeling    2.256857461396453e-05
really    0.0014037653409885945
thank    0.000816982401025516
volunteers    1.354114476837872e-05
travel    1.354114476837872e-05
say    0.002022144285411223
texas    6.770572384189355e-05
nevada    7.67331536874794e-05
'll    0.00015798002229775173
making    0.00027533661029036723
speech    0.0001895760267573021
tomorrow    7.221943876468644e-05
atlanta    4.5137149227929095e-06
somebody    0.0005010223564300128
squeezed    9.027429845585819e-06
your    0.0008530921204078592
arm    2.708228953675744e-05
or    0.0014443887752937305
something    0.0007492766771836225
bad    0.0006770572384189362
forget    0.0001534663073749588
initially    9.027429845585819e-06
thrown    2.256857461396453e-05
floor    2.708228953675744e-05
hurt    4.9650864150722e-05
wouldn    0.0003204737595182963
start    0.00027985032521316017
screaming    5.4164579073514886e-05
leave    0.0002482543207536098
company    0.00027082289536757424
move    0.00016249373722054456
much    0.0012773813231503923
republicans    0.0001534663073749588
democrats    0.00015798002229775173
totally    0.00030241889982712453
should    0.0005958103698086638
three    0.0002617954655219884
leadership    0.0001534663073749588
gridlock    2.708228953675744e-05
importantly    9.478801337865105e-05
anything    0.00044685777735649796
else    0.00036561090874622545
winning    0.00026630918044478146
anymore    0.0003295011893638823
beat    0.0001534663073749588
isis    0.0003340149042866751
knock    5.4164579073514886e-05
care    0.0006274063742682142
china    0.0007989275413343446
pocket    9.027429845585819e-06
easy    0.000194089741680095
cards    4.062343430513613e-05
lot    0.0014534162051393158
understand    0.0003565834789006395
tell    0.0011916207396173277
apples    1.354114476837872e-05
couple    0.00023471317598523122
okay    0.0008124686861027229
mostly    5.4164579073514886e-05
iran    0.00040172062812856847
disaster    0.0002933914699815387
second    0.00037915205351460427
two    0.0005371320758123558
weeks    0.0002211720312168522
sooner    1.354114476837872e-05
myself    8.124686861027228e-05
left    0.00032498747444108917
him    0.0009388527039409241
pretty    0.00021665831629405957
rough    5.4164579073514886e-05
though    9.930172830144402e-05
got    0.0014850122095988658
shouldn    0.00017152116706613052
isn    0.00012638401783820127
working    0.00018054859691171628
thought    0.00034304233413226076
their    0.001141969875466605
motorcycles    4.5137149227929095e-06
parking    4.5137149227929095e-06
lots    8.124686861027228e-05
waving    4.5137149227929095e-06
as    0.0013270321873011138
wait    0.00014895259245216593
minute    5.4164579073514886e-05
point    0.0001354114476837871
enforcement    5.867829399630779e-05
allow    0.0001038154432242369
any    0.000532618360889563
reduction    2.256857461396453e-05
including    0.00017603488198892326
upper    9.027429845585819e-06
income    4.9650864150722e-05
economy    0.0001534663073749588
well    0.0011374561605438122
won    0.0007492766771836225
getting    0.0004107480579741546
certain    0.00014895259245216593
deductions    4.9650864150722e-05
which    0.0007944138264115517
aren    0.00014895259245216593
fair    0.00013992516260658006
ll    0.0016023687975914816
end    0.00032498747444108917
better    0.0006590023787277641
battlefield    3.159600445955037e-05
soon    0.00014895259245216593
trying    0.000194089741680095
kill    7.67331536874794e-05
everybody    0.0008982292696357879
sight    9.027429845585819e-06
wonderful    0.0002121446013712665
illegally    4.062343430513613e-05
try    7.221943876468644e-05
legal    4.513714922792906e-05
process    0.00013992516260658006
interviewed    5.4164579073514886e-05
last    0.00042880291766532594
night    0.0001895760267573021
sitting    9.478801337865105e-05
hotel    7.221943876468644e-05
beautiful    0.0002888777550587458
been    0.00161590994235986
clean    6.770572384189355e-05
normal    2.256857461396453e-05
rubio    8.576058353306526e-05
debate    0.00018054859691171628
hitting    9.027429845585819e-06
hard    0.0003114463296727105
rickles    1.8054859691171638e-05
stuff    0.0002617954655219884
work    0.0005100497862755984
focus    3.159600445955037e-05
words    0.0001308977327609942
known    4.9650864150722e-05
long    0.00040172062812856847
respected    7.221943876468644e-05
incredible    0.0005867829399630781
husband    3.6109719382343215e-05
family    0.0001308977327609942
when    0.0019363837018781561
heard    0.00029790518490433186
endorse    4.513714922792906e-05
honored    5.4164579073514886e-05
idea    9.478801337865105e-05
turned    0.0001173565879926156
100    0.00016249373722054456
worry    7.221943876468644e-05
humane    4.5137149227929095e-06
common    0.00021665831629405957
sense    0.0001308977327609942
mainstream    3.6109719382343215e-05
policy    0.00025276803567640254
promotes    9.027429845585819e-06
values    5.867829399630779e-05
choice    0.00013992516260658006
put    0.0005190772161211842
before    0.00052810464596677
:    0.00023922689090802388
designed    3.159600445955037e-05
benefit    4.513714922792906e-05
america    0.0007221943876468652
hillary    0.0006364338041137997
clinton    0.0004965086415072197
's    0.0009433664188637171
radical    0.0002121446013712665
politically-correct    4.5137149227929095e-06
interests    0.00018054859691171628
eminent    2.708228953675744e-05
